Trade #,Type,Date and time,Price,Qty,Net PnL,Net PnL %,Favorable excursion USD,Adverse excursion USD,Cumulative PnL
92,Exit long,2025-11-09 00:15,3375.010000,1,-8.340000,-0.2465,30.980000,-30.040000,-252.980000
92,Entry long,2025-11-08 14:00,3383.350000,1,-8.340000,-0.2465,30.980000,-30.040000,-252.980000
91,Exit long,2025-11-08 06:00,3419.630000,1,159.240000,4.8841,229.610000,-67.470000,-244.640000
91,Entry long,2025-11-07 11:00,3260.390000,1,159.240000,4.8841,229.610000,-67.470000,-244.640000
90,Exit long,2025-11-06 12:00,3387.410000,1,25.240000,0.7507,52.130000,-4.230000,-403.880000
90,Entry long,2025-11-06 07:15,3362.170000,1,25.240000,0.7507,52.130000,-4.230000,-403.880000
89,Exit long,2025-11-04 16:15,3475.560000,1,-79.650000,-2.2404,30.910000,-100.290000,-429.120000
89,Entry long,2025-11-04 05:30,3555.210000,1,-79.650000,-2.2404,30.910000,-100.290000,-429.120000
88,Exit long,2025-11-03 15:15,3634.600000,1,-167.420000,-4.4034,8.820000,-179.380000,-349.470000
88,Entry long,2025-11-03 02:30,3802.020000,1,-167.420000,-4.4034,8.820000,-179.380000,-349.470000
87,Exit long,2025-10-30 09:30,3895.000000,1,30.080000,0.7783,78.080000,-28.100000,-182.050000
87,Entry long,2025-10-30 04:15,3864.920000,1,30.080000,0.7783,78.080000,-28.100000,-182.050000
86,Exit long,2025-10-29 18:30,3861.090000,1,-67.690000,-1.7229,88.330000,-92.780000,-212.130000
86,Entry long,2025-10-29 16:00,3928.780000,1,-67.690000,-1.7229,88.330000,-92.780000,-212.130000
85,Exit long,2025-10-29 09:00,3992.480000,1,-62.940000,-1.5520,18.580000,-130.410000,-144.440000
85,Entry long,2025-10-28 19:15,4055.420000,1,-62.940000,-1.5520,18.580000,-130.410000,-144.440000
84,Exit long,2025-10-28 12:15,4102.300000,1,1.030000,0.0251,41.330000,-36.980000,-81.500000
84,Entry long,2025-10-27 21:15,4101.270000,1,1.030000,0.0251,41.330000,-36.980000,-81.500000
83,Exit long,2025-10-22 14:15,3810.500000,1,16.620000,0.4381,16.620000,-11.880000,-82.530000
83,Entry long,2025-10-22 14:15,3793.880000,1,16.620000,0.4381,16.620000,-11.880000,-82.530000
